,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
471,joplin,https://github.com/laurent22/joplin,JavaScript,MIT License,19992,51,0,318,4,32.7,78,616,458,3.2,1519,0.7328399999999999,eslint
473,material,https://github.com/angular/material,JavaScript,MIT License,16656,79,1,412,10,3.4,11,252,145,0.6,55966,0.7327199999999999,angular
476,kernel,https://github.com/sonyxperiadev/kernel,C,Other,267,192,0,5000,10,10.5,0,36,30,2.1,997,0.7326699999999999,angular
477,tokio,https://github.com/tokio-rs/tokio,Rust,MIT License,10686,54,0,409,6,11.5,26,520,424,2.1,2159,0.73249,angular
503,node-v8,https://github.com/nodejs/node-v8,JavaScript,Other,256,145,1,3266,10,61.3,0,12,6,2.4,1773,0.72941,angular
537,rxjs,https://github.com/ReactiveX/rxjs,TypeScript,Apache License 2.0,23766,71,0,453,7,12.0,22,223,147,1.2,3163,0.72545,angular
539,libvirt,https://github.com/libvirt/libvirt,C,GNU Lesser General Public License v2.1,762,185,0,712,2,78.9,33,7,7,1.0,23935,0.72539,angular
540,fluent-bit,https://github.com/fluent/fluent-bit,C,Apache License 2.0,2461,82,0,210,7,26.2,30,429,183,2.3,976,0.72534,angular
547,gtk,https://github.com/GNOME/gtk,C,Other,827,282,0,1849,5,115.9,30,0,0,0.0,14014,0.72448,angular
550,appium,https://github.com/appium/appium,JavaScript,Apache License 2.0,12500,97,0,343,9,3.8,9,266,245,2.7,2136,0.7242,angular
557,tikv,https://github.com/tikv/tikv,Rust,Apache License 2.0,8587,61,0,285,4,19.9,33,1177,803,4.2,507,0.72375,angular
562,formatjs,https://github.com/formatjs/formatjs,TypeScript,,12256,82,0,192,7,26.6,1020,306,304,1.3,2132,0.72297,angular
574,scylla,https://github.com/scylladb/scylla,C++,GNU Affero General Public License v3.0,6543,78,0,105,3,68.0,31,1038,545,3.6,1460,0.72187,angular
580,yargs,https://github.com/yargs/yargs,JavaScript,MIT License,8409,126,0,229,10,2.5,14,104,67,1.7,8775,0.72142,angular
581,etherpad-lite,https://github.com/ether/etherpad-lite,JavaScript,Apache License 2.0,10038,119,0,289,6,17.8,5,357,275,2.0,3053,0.72141,angular
586,nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,Other,32899,51,0,293,5,12.2,20,691,523,2.1,3123,0.72083,angular
592,electron-builder,https://github.com/electron-userland/electron-builder,TypeScript,MIT License,10081,69,0,329,11,2.4,14,531,327,2.2,1979,0.72006,angular
606,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,TypeScript,MIT License,6075,50,0,289,4,28.2,229,538,449,2.2,1934,0.71901,angular
607,plugins,https://github.com/rollup/plugins,JavaScript,MIT License,1441,17,1,111,12,6.6,111,226,145,2.5,64492,0.71887,angular
633,superset,https://github.com/apache/superset,Python,Apache License 2.0,31735,67,0,536,4,32.2,5,1503,1040,2.4,738,0.71662,angular
652,typeorm,https://github.com/typeorm/typeorm,TypeScript,MIT License,22464,59,0,634,6,6.7,12,1462,793,1.6,947,0.71463,angular
654,graphql-tools,https://github.com/ardatan/graphql-tools,TypeScript,MIT License,3852,58,0,252,8,18.0,155,423,395,2.3,487,0.7144,angular
663,lint-staged,https://github.com/okonet/lint-staged,JavaScript,MIT License,7927,61,0,97,9,1.9,42,46,27,3.3,28331,0.71315,angular
666,semantic-release,https://github.com/semantic-release/semantic-release,JavaScript,,11527,77,0,141,12,1.5,25,96,47,2.2,13170,0.71295,angular
667,vue-next,https://github.com/vuejs/vue-next,TypeScript,MIT License,19926,31,0,209,11,32.9,55,727,542,1.9,449,0.7129300000000001,angular
670,jx,https://github.com/jenkins-x/jx,Go,Apache License 2.0,3772,37,1,213,5,9.5,304,308,210,2.5,17950,0.71259,angular
671,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,JavaScript,MIT License,12681,52,0,315,5,18.2,34,497,440,2.5,849,0.7125,angular
677,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,MIT License,121870,138,0,2005,9,8.9,0,600,349,1.6,391,0.7119800000000001,angular
685,sourcegraph,https://github.com/sourcegraph/sourcegraph,Go,Other,4263,66,0,163,2,102.2,56,3172,2256,1.6,1150,0.71165,angular
698,dvc,https://github.com/iterative/dvc,Python,Apache License 2.0,7005,47,0,202,5,25.4,117,731,562,2.2,1253,0.71078,angular
702,goreleaser,https://github.com/goreleaser/goreleaser,Go,MIT License,6764,49,0,198,8,9.4,42,1882,1855,1.2,1026,0.71055,angular
704,ts-jest,https://github.com/kulshekhar/ts-jest,TypeScript,MIT License,4229,53,0,126,5,14.0,24,277,266,1.6,12630,0.71048,angular
709,video.js,https://github.com/videojs/video.js,JavaScript,Other,30355,130,0,439,7,2.0,21,366,243,1.7,1208,0.70985,angular
710,react-native-firebase,https://github.com/invertase/react-native-firebase,JavaScript,Other,8677,48,0,333,9,20.5,2,612,562,2.9,960,0.7097899999999999,angular
742,marked,https://github.com/markedjs/marked,JavaScript,Other,24084,115,0,128,9,6.1,14,190,172,1.9,3019,0.70627,angular
746,chakra-ui,https://github.com/chakra-ui/chakra-ui,TypeScript,MIT License,14088,18,0,304,6,65.8,171,785,702,2.7,313,0.70602,angular
749,google-cloud-ruby,https://github.com/googleapis/google-cloud-ruby,Ruby,Apache License 2.0,1037,81,0,130,5,61.9,30,946,735,0.5,1910,0.7056399999999999,angular
774,cli,https://github.com/netlify/cli,JavaScript,MIT License,1076,76,0,96,6,14.2,88,397,329,1.0,6868,0.7027899999999999,angular
