,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
152,851,swagger,https://github.com/nestjs/swagger,TypeScript,MIT License,697,40,0,67,10,10.1,44,191,160,1.0,1473,0.65675,angular
153,845,ReactiveUI,https://github.com/reactiveui/ReactiveUI,C#,MIT License,6005,129,0,178,6,4.1,22,686,677,0.2,566,0.65169,angular
154,825,google-cloud-java,https://github.com/googleapis/google-cloud-java,Java,Apache License 2.0,1504,75,0,206,5,4.1,25,93,82,0.7,314,0.61492,angular
155,796,hexo,https://github.com/hexojs/hexo,JavaScript,MIT License,31946,101,0,174,7,4.7,8,114,74,1.3,4651,0.67637,angular
156,772,flow,https://github.com/facebook/flow,OCaml,MIT License,21110,75,0,847,2,24.6,32,192,95,1.2,10069,0.72705,undefined
158,760,pgjdbc,https://github.com/pgjdbc/pgjdbc,Java,"BSD 2-Clause ""Simplified"" License",905,285,0,235,7,3.7,6,190,54,2.2,1992,0.6812199999999999,angular
159,759,dayjs,https://github.com/iamkun/dayjs,JavaScript,MIT License,33087,33,0,232,6,3.8,29,280,182,2.7,1944,0.6843199999999999,angular
160,755,spinnaker,https://github.com/spinnaker/spinnaker,Shell,Apache License 2.0,7560,79,0,122,5,1.2,20,480,207,1.8,1083,0.64462,angular
161,749,kubernetes-client,https://github.com/fabric8io/kubernetes-client,Java,Apache License 2.0,1667,67,0,223,4,10.0,18,280,191,2.8,429,0.66598,angular
162,748,jumpserver,https://github.com/jumpserver/jumpserver,Python,GNU General Public License v2.0,14932,79,1,119,4,14.4,29,740,605,0.6,6263,0.67369,angular
163,743,vimtex,https://github.com/lervag/vimtex,TeX,MIT License,2987,88,0,126,5,12.6,9,114,99,6.2,84,0.6453800000000001,angular
164,710,server,https://github.com/nextcloud/server,PHP,Other,12715,132,0,922,7,56.5,8,2360,1593,2.2,3566,0.81708,undefined
168,698,pipelines,https://github.com/kubeflow/pipelines,Python,Apache License 2.0,1940,33,0,202,2,19.5,26,679,323,3.4,1438,0.67566,angular
169,696,feathers,https://github.com/feathersjs/feathers,TypeScript,MIT License,13083,112,0,185,8,2.7,14,143,120,1.4,1347,0.67255,angular
170,657,filebrowser,https://github.com/filebrowser/filebrowser,Go,Apache License 2.0,8508,65,0,97,5,2.2,15,136,110,1.9,581,0.61248,angular
171,641,probot,https://github.com/probot/probot,TypeScript,ISC License,6511,52,1,145,3,3.7,111,109,88,2.6,1009,0.61311,angular
172,628,contentful.js,https://github.com/contentful/contentful.js,JavaScript,MIT License,750,93,0,55,5,2.5,30,165,143,1.6,428,0.60958,angular
173,619,nock,https://github.com/nock/nock,JavaScript,MIT License,10181,113,1,270,10,2.3,23,65,43,1.3,3622,0.6859999999999999,angular
174,612,toggl-button,https://github.com/toggl/toggl-button,JavaScript,Other,874,93,0,231,4,2.8,57,54,19,1.5,328,0.61361,angular
175,610,react-query,https://github.com/tannerlinsley/react-query,TypeScript,MIT License,16436,16,0,224,8,16.0,190,246,218,3.4,635,0.68788,angular
176,606,downshift,https://github.com/downshift-js/downshift,JavaScript,MIT License,9129,42,0,189,12,2.3,48,43,27,2.4,359,0.64064,angular
177,587,eslint-plugin-jest,https://github.com/jest-community/eslint-plugin-jest,TypeScript,MIT License,672,49,0,94,6,3.6,28,71,55,1.0,12526,0.65799,angular
